Companies,URL,Total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Senate Conservatives Fund,www.senateconservatives.com,"$1,827,134.00","$286,588.00","$106,146.00","$363,735.00",$0.00,$0.00,$0.00,$0.00,"$289,292.00",$0.00,"$146,748.00",$0.00,$0.00,$0.00,"$49,327.00",$0.00,$0.00,"$34,350.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$295,841.00",$0.00,$0.00,$0.00,"$217,112.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$37,995.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Joshua Hawley,Steven Daines,Marsha Blackburn
Club for Growth,www.clubforgrowth.org,"$1,472,410.00","$235,782.00",$0.00,"$299,301.00","$167,674.00",$0.00,$0.00,$0.00,"$220,703.00",$0.00,"$139,288.00",$0.00,$0.00,$0.00,"$94,367.00",$0.00,$0.00,"$73,340.00",$0.00,$0.00,$0.00,"$49,801.00",$0.00,"$109,971.00",$0.00,$0.00,$0.00,"$82,183.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Joshua Hawley,Ted Cruz,Marsha Blackburn
Berkshire Hathaway,www.berkshirehathaway.com,"$1,461,434.00","$87,583.00",$0.00,"$28,346.00","$24,443.00",$0.00,"$11,014.00",$0.00,"$26,880.00","$26,751.00","$7,517.00",$0.00,"$32,061.00","$58,153.00",$0.00,"$28,324.00","$12,051.00","$40,228.00",$0.00,"$23,500.00",$0.00,"$27,550.00","$41,260.00","$45,266.00",$0.00,"$27,550.00","$78,159.00","$35,075.00","$34,000.00",$0.00,"$53,910.00","$47,600.00","$40,500.00","$25,801.00","$102,476.00","$34,165.00","$19,050.00","$56,680.00",$0.00,"$73,025.00","$25,050.00","$42,550.00","$62,079.00","$35,164.00","$15,000.00",$0.00,"$26,050.00","$22,000.00","$60,618.00","$24,005.00",John Cornyn,Ted Cruz,Joni Ernst
Blackstone Group,www.blackstone.com,"$1,330,062.00","$27,240.00",$0.00,$0.00,$0.00,$0.00,"$22,325.00","$30,035.00","$42,680.00","$23,095.00",$0.00,"$33,513.00","$18,933.00","$43,200.00",$0.00,"$45,216.00","$25,900.00","$39,666.00","$15,500.00","$38,656.00","$17,250.00","$19,300.00","$45,875.00","$68,194.00","$24,731.00",$0.00,"$65,618.00","$12,825.00","$11,200.00","$64,100.00",$0.00,$0.00,"$68,400.00",$0.00,"$80,505.00","$37,100.00","$27,000.00","$18,731.00",$0.00,$0.00,$0.00,"$35,200.00","$144,438.00","$38,335.00","$77,400.00",$0.00,"$15,020.00",$0.00,"$52,881.00",$0.00,Mitch McConnell,John Cornyn,Mitt Romney
Comcast Corp,corporate.comcast.com,"$1,320,507.00","$33,430.00",$0.00,"$19,074.00","$19,200.00","$15,000.00",$0.00,$0.00,"$52,975.00",$0.00,"$12,500.00","$22,873.00","$31,191.00","$35,000.00","$13,557.00","$24,484.00","$38,875.00","$43,500.00","$44,500.00","$22,500.00","$27,562.00","$29,025.00","$22,000.00","$21,743.00","$25,000.00","$20,000.00","$38,926.00","$17,500.00","$22,500.00","$22,000.00","$48,312.00","$38,000.00","$34,500.00","$22,615.00","$41,593.00","$38,060.00","$13,000.00","$31,020.00","$5,000.00","$48,200.00","$30,000.00","$31,462.00","$78,175.00","$25,515.00","$20,045.00","$15,000.00","$15,000.00","$25,100.00","$59,995.00","$25,000.00",Mitch McConnell,Lindsey Graham,Marsha Blackburn
Apollo Global Management,www.apollo.com,"$1,261,419.00","$36,257.00",$0.00,$0.00,"$24,561.00","$47,500.00",$0.00,"$120,085.00","$25,573.00",$0.00,$0.00,"$52,168.00","$18,926.00","$25,700.00","$11,075.00","$39,140.00","$46,100.00","$16,400.00",$0.00,"$18,600.00",$0.00,"$15,400.00",$0.00,$0.00,$0.00,"$15,025.00","$67,453.00","$14,581.00","$24,425.00","$79,450.00","$17,135.00",$0.00,"$29,500.00",$0.00,"$238,010.00","$23,435.00","$11,915.00","$46,751.00",$0.00,$0.00,$0.00,$0.00,"$110,587.00","$35,700.00","$25,250.00",$0.00,$0.00,$0.00,"$24,717.00",$0.00,John Cornyn,Bill Haggerty,Mitch McConnell
Blue Cross/Blue Shield,www.bcbs.com,"$1,174,545.00",$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,073.00","$52,055.00",$0.00,"$44,412.00","$42,500.00",$0.00,$0.00,"$45,000.00",$0.00,"$24,000.00","$41,520.00","$41,398.00",$0.00,$0.00,"$41,932.00",$0.00,"$14,002.00","$66,002.00","$23,076.00","$20,000.00","$32,000.00",$0.00,"$81,975.00",$0.00,$0.00,"$104,715.00",$0.00,$0.00,"$48,525.00","$31,525.00","$117,392.00","$82,796.00","$22,535.00","$7,000.00",$0.00,"$63,510.00","$53,142.00","$43,460.00",Mitch McConnell,Todd Young,Chuck Grassley
AT&T Inc,www.att.com,"$1,146,336.00","$49,430.00",$0.00,"$23,100.00",$0.00,$0.00,"$11,007.00",$0.00,"$50,481.00",$0.00,$0.00,"$24,714.00","$34,331.00",$0.00,"$36,708.00","$30,873.00","$29,700.00","$40,065.00","$41,075.00","$34,010.00",$0.00,"$31,002.00",$0.00,$0.00,"$14,020.00","$35,065.00","$26,845.00","$20,505.00",$0.00,$0.00,"$30,025.00","$35,000.00","$37,970.00","$46,133.00","$44,463.00","$25,131.00","$19,030.00","$29,357.00","$2,025.00","$37,000.00","$36,108.00","$31,021.00","$88,430.00","$14,770.00",$0.00,"$34,000.00","$26,580.00","$20,555.00","$55,807.00",$0.00,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Northrop Grumman,www.northropgrumman.com,"$1,143,777.00","$27,403.00",$0.00,"$19,384.00",$0.00,"$30,000.00",$0.00,$0.00,$0.00,"$21,146.00",$0.00,"$25,717.00","$34,204.00","$25,550.00",$0.00,"$24,308.00","$22,685.00","$22,791.00","$30,250.00","$28,088.00",$0.00,"$25,455.00","$23,215.00","$38,981.00","$38,075.00","$42,124.00","$40,388.00",$0.00,"$23,015.00",$0.00,"$67,880.00","$28,775.00","$46,375.00","$18,528.00","$42,009.00","$37,267.00","$15,125.00","$28,357.00",$0.00,"$29,025.00","$22,525.00","$31,040.00","$47,617.00","$16,595.00","$18,025.00","$16,000.00","$32,500.00","$20,090.00","$51,690.00","$31,575.00",Deb Fischer,Lindsey Graham,Mitch McConnell
Votesane PAC,www.votesane.com,"$1,108,685.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$176,625.00",$0.00,$0.00,"$145,935.00",$0.00,$0.00,$0.00,"$125,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$105,100.00",$0.00,$0.00,$0.00,$0.00,"$130,400.00","$177,000.00",$0.00,$0.00,$0.00,$0.00,"$103,525.00",$0.00,$0.00,$0.00,$0.00,"$127,450.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,150.00",John Thune,Marco Rubio,Tim Scott
Charter Communications,www.chartercommunications.co,"$1,075,222.00","$25,455.00",$0.00,"$23,805.00",$0.00,$0.00,$0.00,$0.00,"$28,500.00","$25,025.00","$10,000.00",$0.00,"$25,157.00","$89,700.00","$19,050.00",$0.00,$0.00,"$45,000.00","$15,000.00","$30,000.00",$0.00,"$20,000.00","$32,500.00","$111,799.00","$15,000.00",$0.00,"$35,880.00","$15,000.00",$0.00,"$25,000.00","$25,000.00","$30,000.00","$42,500.00","$30,060.00","$35,725.00","$17,500.00","$15,000.00","$30,000.00",$0.00,"$52,300.00","$29,050.00","$27,000.00","$73,980.00",$0.00,$0.00,$0.00,$0.00,"$17,500.00","$37,736.00","$20,000.00",Steven Daines,John Barraso,Mitch McConnell
United Parcel Service,www.ups.com,"$1,027,558.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$18,070.00",$0.00,"$25,512.00","$21,413.00","$11,000.00","$21,133.00","$28,419.00","$34,041.00","$18,562.00","$33,752.00",$0.00,$0.00,"$22,500.00","$25,005.00",$0.00,"$24,525.00","$29,120.00","$49,221.00",$0.00,$0.00,"$29,440.00","$22,000.00",$0.00,"$27,700.00","$31,000.00","$26,500.00","$37,000.00","$26,992.00","$39,093.00","$31,162.00",$0.00,"$35,022.00",$0.00,$0.00,"$27,010.00","$35,080.00","$142,356.00",$0.00,$0.00,"$15,000.00","$35,085.00","$23,555.00","$45,830.00","$35,460.00",Mitch McConnell,Steven Daines,Lindsey Graham
