name,url,total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Senate Conservatives Fund,www.senateconservatives.com,1827134,286588,106146,363735,0,0,0,0,289292,0,146748,0,0,0,49327,0,0,34350,0,0,0,0,0,295841,0,0,0,217112,0,0,0,0,0,37995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Steven Daines,Marsha Blackburn
Club for Growth,www.clubforgrowth.org,1472410,235782,0,299301,167674,0,0,0,220703,0,139288,0,0,0,94367,0,0,73340,0,0,0,49801,0,109971,0,0,0,82183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Ted Cruz,Marsha Blackburn
Berkshire Hathaway,www.berkshirehathaway.com,1461434,87583,0,28346,24443,0,11014,0,26880,26751,7517,0,32061,58153,0,28324,12051,40228,0,23500,0,27550,41260,45266,0,27550,78159,35075,34000,0,53910,47600,40500,25801,102476,34165,19050,56680,0,73025,25050,42550,62079,35164,15000,0,26050,22000,60618,24005,John Cornyn,Ted Cruz,Joni Ernst
Blackstone Group,www.blackstone.com,1330062,27240,0,0,0,0,22325,30035,42680,23095,0,33513,18933,43200,0,45216,25900,39666,15500,38656,17250,19300,45875,68194,24731,0,65618,12825,11200,64100,0,0,68400,0,80505,37100,27000,18731,0,0,0,35200,144438,38335,77400,0,15020,0,52881,0,Mitch McConnell,John Cornyn,Mitt Romney
Comcast Corp,https://corporate.comcast.com,1320507,33430,0,19074,19200,15000,0,0,52975,0,12500,22873,31191,35000,13557,24484,38875,43500,44500,22500,27562,29025,22000,21743,25000,20000,38926,17500,22500,22000,48312,38000,34500,22615,41593,38060,13000,31020,5000,48200,30000,31462,78175,25515,20045,15000,15000,25100,59995,25000,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Apollo Global Management,www.apollo.com,1261419,36257,0,0,24561,47500,0,120085,25573,0,0,52168,18926,25700,11075,39140,46100,16400,0,18600,0,15400,0,0,0,15025,67453,14581,24425,79450,17135,0,29500,0,238010,23435,11915,46751,0,0,0,0,110587,35700,25250,0,0,0,24717,0,John Cornyn,Bill Haggerty,Mitch McConnell
Blue Cross/Blue Shield,www.bcbs.com,1174545,0,0,0,0,10000,0,0,0,0,0,0,20073,52055,0,44412,42500,0,0,45000,0,24000,41520,41398,0,0,41932,0,14002,66002,23076,20000,32000,0,81975,0,0,104715,0,0,48525,31525,117392,82796,22535,7000,0,63510,53142,43460,Mitch McConnell,Todd Young,Chuck Grassley
AT&T Inc,www.att.com,1146336,49430,0,23100,0,0,11007,0,50481,0,0,24714,34331,0,36708,30873,29700,40065,41075,34010,0,31002,0,0,14020,35065,26845,20505,0,0,30025,35000,37970,46133,44463,25131,19030,29357,2025,37000,36108,31021,88430,14770,0,34000,26580,20555,55807,0,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Northrop Grumman,www.northropgrumman.com,1143777,27403,0,19384,0,30000,0,0,0,21146,0,25717,34204,25550,0,24308,22685,22791,30250,28088,0,25455,23215,38981,38075,42124,40388,0,23015,0,67880,28775,46375,18528,42009,37267,15125,28357,0,29025,22525,31040,47617,16595,18025,16000,32500,20090,51690,31575,Deb Fischer,Lindsey Graham,Mitch McConnell
Votesane PAC,www.votesane.com,1108685,0,0,0,0,0,0,0,0,0,0,0,176625,0,0,145935,0,0,0,125500,0,0,0,0,0,0,105100,0,0,0,0,130400,177000,0,0,0,0,103525,0,0,0,0,127450,0,0,0,0,0,0,17150,John Thune,Marco Rubio,Tim Scott
Charter Communications,www.chartercommunications.co,1075222,25455,0,23805,0,0,0,0,28500,25025,10000,0,25157,89700,19050,0,0,45000,15000,30000,0,20000,32500,111799,15000,0,35880,15000,0,25000,25000,30000,42500,30060,35725,17500,15000,30000,0,52300,29050,27000,73980,0,0,0,0,17500,37736,20000,Steven Daines,John Barraso,Mitch McConnell
United Parcel Service,www.ups.com,1027558,0,0,0,0,0,18070,0,25512,21413,11000,21133,28419,34041,18562,33752,0,0,22500,25005,0,24525,29120,49221,0,0,29440,22000,0,27700,31000,26500,37000,26992,39093,31162,0,35022,0,0,27010,35080,142356,0,0,15000,35085,23555,45830,35460,Mitch McConnell,Steven Daines,Lindsey Graham
Lockheed Martin,www.lmco.com,1015472,79105,0,0,0,132750,0,0,0,0,0,68094,35792,0,0,32323,0,0,33000,14505,15344,0,0,32049,20035,114848,29583,0,36059,0,34534,32025,30535,0,53834,20144,0,0,0,0,19665,0,0,17645,0,11000,26569,0,106034,20000,Richard Shelby,James Inhofe,Lindsey Graham
NextEra Energy,www.nexteraenergy.com,1000611,0,0,0,117073,0,0,0,0,0,0,0,37921,68550,0,31195,0,0,49000,19000,0,18500,0,49899,29500,17000,53700,0,0,22000,0,0,116700,0,41376,16500,0,18000,0,0,0,0,92091,27500,0,0,43200,20000,46156,65750,Rick Scott,John Thune,Mitch McConnell
